2026/05/15 20:19精选更新,#genre#
河南卫视,http://180.165.22.10:9999/rtp/239.45.0.3:5140
河南卫视,http://180.165.22.10:9999/rtp/233.18.204.105:5140
湖北卫视,http://180.165.22.10:9999/rtp/239.45.3.239:5140
湖北卫视,http://180.165.22.10:9999/rtp/233.18.204.92:5140
陕西卫视,http://180.165.22.10:9999/rtp/239.45.1.232:5140
陕西卫视,http://180.165.22.10:9999/rtp/233.18.204.223:5140
四川卫视,http://180.165.22.10:9999/rtp/239.45.1.83:5140
四川卫视,http://180.165.22.10:9999/rtp/233.18.204.99:5140
海南卫视,http://180.165.22.10:9999/rtp/239.45.1.81:5140
海南卫视,http://180.165.22.10:9999/rtp/233.18.204.102:5140
甘肃卫视,http://180.165.22.10:9999/rtp/239.45.1.234:5140
甘肃卫视,http://180.165.22.10:9999/rtp/233.18.204.110:5140
广西卫视,http://180.165.22.10:9999/rtp/239.45.0.5:5140
广西卫视,http://180.165.22.10:9999/rtp/233.18.204.107:5140
贵州卫视,http://180.165.22.10:9999/rtp/239.45.1.80:5140
贵州卫视,http://180.165.22.10:9999/rtp/233.18.204.101:5140
黑龙江卫视,http://180.165.22.10:9999/rtp/239.45.3.232:5140
黑龙江卫视,http://180.165.22.10:9999/rtp/233.18.204.90:5140
江西卫视,http://180.165.22.10:9999/rtp/239.45.1.122:5140
江西卫视,http://180.165.22.10:9999/rtp/233.18.204.95:5140
吉林卫视,http://180.165.22.10:9999/rtp/239.45.0.6:5140
吉林卫视,http://180.165.22.10:9999/rtp/233.18.204.108:5140
内蒙古卫视,http://180.165.22.10:9999/rtp/239.45.1.238:5140
内蒙古卫视,http://180.165.22.10:9999/rtp/233.18.204.217:5140
宁夏卫视,http://180.165.22.10:9999/rtp/239.45.1.213:5140
宁夏卫视,http://180.165.22.10:9999/rtp/233.18.204.230:5140
山西卫视,http://180.165.22.10:9999/rtp/239.45.1.229:5140
山西卫视,http://180.165.22.10:9999/rtp/233.18.204.211:5140
新疆卫视,http://180.165.22.10:9999/rtp/239.45.1.116:5140
新疆卫视,http://180.165.22.10:9999/rtp/233.18.204.220:5140
云南卫视,http://180.165.22.10:9999/rtp/239.45.0.4:5140
云南卫视,http://180.165.22.10:9999/rtp/233.18.204.106:5140
青海卫视,http://180.165.22.10:9999/rtp/239.45.1.230:5140
青海卫视,http://180.165.22.10:9999/rtp/233.18.204.112:5140
西藏卫视,http://180.165.22.10:9999/rtp/239.45.1.231:5140
西藏卫视,http://180.165.22.10:9999/rtp/233.18.204.222:5140
兵团卫视,http://180.165.22.10:9999/rtp/239.45.1.117:5140
兵团卫视,http://180.165.22.10:9999/rtp/233.18.204.221:5140
康巴卫视,http://180.165.22.10:9999/rtp/239.45.1.251:5140
